Age,Height,Male,,,Female,,Weight,Male,,,Female,,BMI,Male,,,Female,
(years),L,M,S,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S
-0.326,12,,,,,,1.181,0.5845,0.17211,1.101,0.5343,0.18168,,,,,,
-0.307,,,,,,,1.161,0.695,0.17035,1.079,0.6428,0.1792,,,,,,
-0.287,,,,,,,1.14,0.8067,0.16859,1.056,0.7522,0.17673,,,,,,
-0.268,,,,,,,1.12,0.9216,0.1668,1.034,0.864,0.17422,,,,,,
-0.249,,,,,,,1.099,1.0419,0.16497,1.011,0.9805,0.17167,,,,,,
-0.23,,,,,,,1.078,1.1705,0.16309,0.987,1.1045,0.16905,,,,,,
-0.211,,,,,,,1.055,1.3105,0.16114,0.963,1.239,0.16635,,,,,,
-0.192,,,,,,,1.032,1.4645,0.15911,0.937,1.3882,0.16357,,,,,,
-0.172,,,,,,,1.008,1.6352,0.15701,0.911,1.5542,0.1607,,,,,,
-0.153,,,,,,,0.983,1.8227,0.15484,0.885,1.7366,0.15775,,,,,,
-0.134,1,45.05,0.04139,1,44.56,0.03919,0.957,2.0251,0.15261,0.857,1.9331,0.15476,0.22,9.465,0.10742,-0.103,9.286,0.10869
-0.115,1,45.91,0.04107,1,45.37,0.03891,0.931,2.2392,0.15035,0.83,2.1408,0.15174,0.132,10.172,0.10456,-0.16,10.023,0.10534
-0.096,1,46.76,0.04075,1,46.18,0.03864,0.904,2.4608,0.14806,0.801,2.3558,0.14871,0.055,10.801,0.10202,-0.211,10.668,0.10238
-0.077,1,47.62,0.04042,1,46.99,0.03836,0.877,2.686,0.14576,0.773,2.574,0.14571,-0.014,11.376,0.09975,-0.256,11.237,0.09974
-0.057,1,48.48,0.0401,1,47.8,0.03808,0.85,2.9106,0.14348,0.745,2.791,0.14277,-0.076,11.906,0.0977,-0.297,11.745,0.09734
-0.038,1,49.34,0.03978,1,48.61,0.0378,0.823,3.1307,0.14122,0.717,3.0029,0.13989,-0.133,12.397,0.09583,-0.335,12.205,0.09518
-0.019,1,50.19,0.03945,1,49.41,0.03752,0.796,3.3447,0.13902,0.689,3.2074,0.13712,-0.186,12.853,0.09413,-0.371,12.632,0.09323
0,1,51.04,0.03913,1,50.22,0.03725,0.77,3.554,0.13687,0.662,3.4031,0.13447,-0.233,13.281,0.09258,-0.406,13.028,0.09146
0.083,1,54.7,0.03775,1,53.69,0.03607,0.657,4.4908,0.12845,0.548,4.2265,0.12462,-0.398,14.953,0.08721,-0.543,14.495,0.08581
0.167,1,58.09,0.03649,1,56.91,0.03498,0.553,5.4296,0.1216,0.444,5.0502,0.11729,-0.512,16.137,0.08362,-0.657,15.551,0.0828
0.25,1,61.07,0.03542,1,59.73,0.03404,0.461,6.2628,0.11629,0.351,5.8017,0.11207,-0.589,16.844,0.0813,-0.751,16.253,0.08119
0.333,1,63.59,0.03455,1,62.11,0.03331,0.38,6.9654,0.11234,0.27,6.4533,0.10852,-0.641,17.258,0.07985,-0.824,16.728,0.08024
0.417,1,65.71,0.0339,1,64.11,0.03278,0.311,7.5538,0.10949,0.2,7.0096,0.10618,-0.676,17.51,0.07895,-0.881,17.047,0.07955
0.5,1,67.49,0.03344,1,65.82,0.03245,0.252,8.0538,0.10753,0.14,7.4853,0.10471,-0.698,17.666,0.07837,-0.924,17.248,0.07898
0.583,1,69.04,0.03314,1,67.36,0.03227,0.202,8.4876,0.10622,0.089,7.8997,0.10385,-0.711,17.758,0.07798,-0.955,17.361,0.07851
0.667,1,70.45,0.03297,1,68.77,0.03222,0.16,8.8722,0.10539,0.045,8.2678,0.10339,-0.718,17.798,0.07771,-0.977,17.409,0.07813
0.75,1,71.78,0.03291,1,70.12,0.03228,0.124,9.2194,0.10491,0.007,8.6007,0.10323,-0.72,17.797,0.07752,-0.993,17.408,0.07783
0.833,1,73.07,0.03294,1,71.42,0.03242,0.092,9.5371,0.10466,-0.026,8.9067,0.10325,-0.72,17.763,0.0774,-1.003,17.374,0.07761
0.917,1,74.32,0.03301,1,72.69,0.03262,0.065,9.8308,0.10459,-0.055,9.1915,0.10341,-0.718,17.709,0.07734,-1.01,17.316,0.0775
1,1,75.51,0.03313,1,73.92,0.03287,0.04,10.1041,0.10464,-0.081,9.4596,0.10366,-0.717,17.644,0.07735,-1.014,17.245,0.07749
1.083,1,76.65,0.03327,1,75.11,0.03314,0.018,10.3595,0.10478,-0.104,9.7134,0.10399,-0.716,17.572,0.07742,-1.017,17.168,0.07757
1.167,1,77.74,0.03344,1,76.27,0.03344,-0.002,10.599,0.10497,-0.125,9.9543,0.10436,-0.716,17.492,0.07755,-1.018,17.084,0.07772
1.25,1,78.79,0.03362,1,77.4,0.03374,-0.02,10.8243,0.10521,-0.145,10.1837,0.10476,-0.718,17.406,0.07772,-1.02,16.999,0.07794
1.333,1,79.81,0.03381,1,78.48,0.03405,-0.037,11.0381,0.10547,-0.163,10.4031,0.10519,-0.721,17.316,0.07791,-1.02,16.911,0.07821
1.417,1,80.79,0.03401,1,79.53,0.03436,-0.053,11.2419,0.10576,-0.18,10.6149,0.10565,-0.726,17.223,0.07811,-1.021,16.825,0.07851
1.5,1,81.74,0.03422,1,80.53,0.03466,-0.067,11.438,0.10606,-0.195,10.819,0.10612,-0.733,17.131,0.07829,-1.022,16.741,0.07882
1.583,1,82.66,0.03444,1,81.49,0.03495,-0.082,11.6261,0.10637,-0.21,11.0191,0.1066,-0.742,17.04,0.07846,-1.024,16.662,0.07914
1.667,1,83.54,0.03466,1,82.41,0.03523,-0.095,11.8099,0.10669,-0.225,11.2149,0.10709,-0.753,16.953,0.07859,-1.025,16.589,0.07944
1.75,1,84.4,0.03489,1,83.3,0.03549,-0.108,11.989,0.10702,-0.239,11.408,0.1076,-0.766,16.87,0.07869,-1.028,16.521,0.07972
1.833,1,85.22,0.03512,1,84.16,0.03574,-0.121,12.1651,0.10736,-0.252,11.5991,0.10811,-0.781,16.793,0.07875,-1.03,16.457,0.07999
1.917,1,86.02,0.03535,1,85,0.03597,-0.134,12.3399,0.1077,-0.265,11.7869,0.10863,-0.797,16.721,0.07878,-1.033,16.395,0.08024
2,1,86.8,0.03559,1,85.82,0.03618,-0.146,12.514,0.10805,-0.278,11.973,0.10916,-0.814,16.655,0.07879,-1.036,16.336,0.08049
2.083,1,87.56,0.03582,1,86.62,0.03639,-0.159,12.6891,0.1084,-0.29,12.158,0.1097,-0.832,16.595,0.07878,-1.039,16.28,0.08073
2.167,1,88.31,0.03605,1,87.41,0.03659,-0.171,12.8639,0.10877,-0.302,12.3419,0.11025,-0.851,16.539,0.07876,-1.042,16.227,0.08097
2.25,1,89.04,0.03628,1,88.18,0.03678,-0.183,13.041,0.10914,-0.314,12.526,0.11081,-0.871,16.488,0.07871,-1.046,16.178,0.0812
2.333,1,89.76,0.03651,1,88.94,0.03696,-0.196,13.2191,0.10951,-0.326,12.7111,0.11139,-0.891,16.441,0.07865,-1.05,16.133,0.08142
2.417,1,90.49,0.03673,1,89.68,0.03713,-0.209,13.3999,0.10989,-0.337,12.8959,0.11197,-0.912,16.397,0.07858,-1.053,16.093,0.08164
2.5,1,91.21,0.03695,1,90.42,0.0373,-0.221,13.582,0.11028,-0.348,13.081,0.11257,-0.933,16.355,0.07849,-1.057,16.055,0.08185
2.583,1,91.93,0.03716,1,91.14,0.03747,-0.234,13.7661,0.11066,-0.359,13.2661,0.11317,-0.954,16.315,0.07838,-1.062,16.021,0.08207
2.667,1,92.65,0.03737,1,91.84,0.03762,-0.247,13.9489,0.11105,-0.37,13.4489,0.11378,-0.975,16.276,0.07827,-1.066,15.989,0.08229
2.75,1,93.36,0.03758,1,92.54,0.03777,-0.259,14.133,0.11143,-0.381,13.631,0.11439,-0.996,16.239,0.07814,-1.07,15.959,0.08251
2.833,1,94.05,0.03778,1,93.21,0.03792,-0.272,14.3141,0.11181,-0.391,13.8111,0.11502,-1.018,16.203,0.078,-1.075,15.931,0.08275
2.917,1,94.74,0.03798,1,93.87,0.03806,-0.284,14.4939,0.11218,-0.401,13.9899,0.11565,-1.039,16.168,0.07786,-1.08,15.905,0.08299
3,1,95.41,0.03818,1,94.52,0.03819,-0.296,14.67,0.11254,-0.411,14.166,0.11629,-1.06,16.133,0.07772,-1.084,15.881,0.08324
3.083,1,96.06,0.03836,1,95.15,0.03833,-0.308,14.8421,0.1129,-0.421,14.3411,0.11693,-1.08,16.099,0.07758,-1.089,15.858,0.08351
3.167,1,96.7,0.03854,1,95.76,0.03846,-0.32,15.0109,0.11325,-0.43,14.5139,0.11758,-1.101,16.065,0.07744,-1.094,15.836,0.08378
3.25,1,97.32,0.03872,1,96.36,0.03859,-0.331,15.175,0.11359,-0.439,14.685,0.11824,-1.121,16.031,0.07731,-1.1,15.815,0.08407
3.333,1,97.93,0.0389,1,96.95,0.03871,-0.342,15.3351,0.11392,-0.448,14.8541,0.1189,-1.141,15.997,0.0772,-1.105,15.796,0.08438
3.417,1,98.53,0.03906,1,97.54,0.03884,-0.353,15.4909,0.11424,-0.457,15.0229,0.11957,-1.161,15.963,0.0771,-1.111,15.777,0.08469
3.5,1,99.11,0.03923,1,98.11,0.03896,-0.364,15.645,0.11457,-0.466,15.192,0.12024,-1.181,15.93,0.07701,-1.116,15.759,0.08502
